feature,mean_abs_shap,weights
acceleration-mean,1.8577,0.253752954
sleep-deep,0.9288,0.126869647
motion-mean,0.896,0.122389324
motion-ratio,0.5839,0.079757953
motion-max,0.4909,0.067054597
motion-max-timestamp,0.4113,0.056181617
step-mean,0.2947,0.040254614
sleep-heartrate-mean,0.262,0.03578795
sleep-snoring,0.2598,0.03548744
sleep-rem,0.2584,0.035296207
sleep-total,0.2329,0.031813028
acceleration-skew,0.1981,0.027059515
sleep-light,0.1702,0.023248508
position-distance-travelled,0.1698,0.02319387
sleep-duration-to-sleep,0.1549,0.021158601
sleep-heartrate-max,0.1515,0.020694177
,7.3209,